Gene,ERR2593198.bam,ERR3374021.bam,SRR10572661.bam,SRR16796949.bam,SRR3401747.bam,SRR3401748.bam,SRR3401749.bam,SRR3401750.bam,ERR4184070.bam,ERR4184071.bam,ERR4184072.bam,ERR4184073.bam,SRR3161766.bam,SRR3161767.bam,SRR3161768.bam,SRR3161769.bam,SRR12774953.bam,RCB003.Brain.bam,RCS001.Spleen.bam,SRR12774963.bam
Herc4_1,2305,1486,5036,3537,1155,1239,1696,1675,4443,3478,3831,4328,1598,1185,1187,1361,825,631,2254,2759
Sirt1_1,918,648,2870,2275,583,330,380,405,2168,1653,1274,1331,410,267,311,339,385,372,799,656
Dnajc12_1,20,16,66,87,9,19,29,53,21,15,67,94,1,4,3,1,28,533,37,7
Ctnna3_1,61,162,36,43,113,207,377,784,72,51,142,195,0,0,1,1,37,132,21,27
LOC100759804_1,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lrrtm3_1,0,0,2,0,0,1,0,3,0,0,0,1,0,0,0,0,10,487,4,12
Reep3_1,766,1061,2953,2774,1614,2160,875,1367,3950,3125,3797,4015,3571,2724,2825,3397,1545,852,1002,1457
Jmjd1c_1,2073,1260,7364,1832,1421,1467,819,1066,9037,7067,9191,10280,2410,1530,1509,2072,2310,1756,2783,5151
Nrbf2_1,222,144,339,428,211,230,505,516,380,309,281,279,168,159,146,183,84,223,301,123
Egr2_1,10,94,45,253,85,499,477,883,227,188,373,372,62,70,66,85,22,474,87,18
LOC113833430,3050,2930,3719,4298,2035,1608,1714,1896,5640,4452,3834,4102,2670,1975,2088,2578,735,1429,829,300
Znf365_1,995,893,1292,1555,0,1,23,99,1167,968,749,747,424,375,362,464,47,5218,105,53
Rtkn2_1,344,539,350,918,2,4,9,47,1339,1072,612,659,205,159,137,125,37,161,62,23
Arid5b_1,1441,1620,7187,2682,761,615,369,357,7835,5900,4677,5363,807,663,695,804,1247,954,929,1695
Cabcoco1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29,10,24
Tmem26_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,238,988
Rhobtb1_1,455,706,1011,982,617,606,327,445,1401,1171,1823,2017,933,911,859,993,442,228,761,218
Cdk1_1,3760,4283,4631,12688,3175,2081,1639,859,10391,7966,6657,6823,5395,4715,4510,3748,235,28,3535,270
Ank3_1,839,657,4719,1825,633,542,707,649,2907,2280,3448,3741,898,688,677,665,1205,7624,866,490
Ccdc6_1,864,1561,2079,1693,797,540,777,671,5641,4278,2976,3162,1131,921,928,961,951,819,609,642
Mrln_1,10,12,53,2,1,0,1,6,27,18,39,39,3,1,3,3,6,7,1,2
Slc16a9_1,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,56,42,18,15
Fam13c_1,1,1,12,12,42,97,79,121,5,0,4,8,0,0,0,0,254,1567,53,20
Phyhipl_1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,12,3495,0,1
Bicc1_1,5,0,0,0,1,1,6,14,0,2,0,0,870,769,625,727,695,234,157,183
LOC100771474_1,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0
Tfam_1,2715,2162,3386,3715,1725,1033,1294,1448,4599,3436,2202,2235,1152,899,938,963,299,417,1004,373
Ube2d1_1,1046,1310,2581,2739,956,880,733,747,2587,2022,1666,1752,1086,841,876,841,255,744,534,365
Cisd1_1,631,766,1749,3184,525,742,828,845,1281,978,1004,1131,428,363,386,422,179,1084,224,108
Ipmk_1,1655,1655,3086,2926,1132,751,534,520,2290,1741,1808,1855,1073,862,973,912,281,623,501,273
Ifi44_1,61,7,427,388,226,313,192,190,153,132,117,129,141,111,108,160,383,20,137,412
Ifi44l_1,2,0,0,0,13,21,4,6,2,2,0,0,89,68,41,88,442,10,292,498
Ptgfr_1,0,0,1,2,0,3,4,3,0,0,0,0,0,0,0,0,115,26,5,13
Gipc2_1,0,1,7,4,3,1,5,10,0,0,4,3,2,0,0,0,88,4,3,4
Dnajb4_1,941,946,5258,4247,336,473,464,575,1413,1096,2205,2268,519,361,361,430,488,1330,1202,272
Fubp1_1,1868,2559,3523,1952,3257,2040,1648,922,2577,2007,1827,1969,3224,2803,2510,2740,1479,1842,3571,2020
Nexn_1,4,21,64,20,80,34,13,9,13,11,11,9,8,8,4,3,289,277,123,29
Miga1_1,1,0,11,1,2,9,79,217,1,3,8,14,1,2,3,4,570,1812,269,441
Usp33_1,953,988,4068,1959,826,809,1484,1336,1385,1123,1354,1535,1468,1176,1111,1270,778,2483,1731,1227
LOC113833451,6,2,1,5,4,0,4,4,3,1,6,1,0,0,0,0,6,8,12,7
Zzz3_1,3602,1477,6264,7903,1363,997,1083,1081,3352,2717,2406,2670,1467,1195,1099,1405,1350,967,1328,1766
Ak5_1,17,2,22,10,5,24,4,4,15,5,18,24,5,2,1,4,61,3077,54,49
Pigk_1,2353,2474,3378,6044,1706,3252,2552,3888,1281,946,1398,1387,2284,1954,1763,2456,462,1270,1509,487
LOC100759381_1,1,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,495,2,1
St6galnac3_1,0,0,0,8,1,0,7,15,0,1,0,0,0,0,0,0,94,303,268,122
Asb17_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Msh4_1,5,3,16,7,2,1,0,1,13,5,2,2,0,0,0,0,2,9,1,1
Rabggtb_1,3155,1950,1934,3656,1464,1528,1220,952,979,788,578,635,1704,1341,1210,1520,480,1496,2280,630
Acadm_1,1459,943,1460,1933,719,606,1335,1440,1,2,3,3,691,580,534,589,585,598,939,391
Slc44a5_1,0,2,2,3,67,117,146,230,0,0,0,0,0,0,0,0,8,169,7,8
Lhx8_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,35,0,0
Tyw3_1,361,326,494,823,293,149,108,157,270,209,111,124,117,120,119,118,76,130,234,56
Cryz_1,416,597,1036,1643,219,179,454,455,287,236,261,304,322,317,282,297,82,134,132,30
LOC100768529_1,5,0,0,5052,0,0,0,0,11,9,8,10,0,0,0,0,0,3,5,0
Erich3_1,0,0,18,7,5,18,2,1,0,0,2,1,1,3,2,0,269,1319,14,4
Tnni3k_1,1,0,11,1,0,0,1,2,3,3,0,2,1,0,0,0,2,2,0,2
Lrrc53_1,0,0,7,19,7,5,7,10,0,0,0,0,0,0,1,0,0,2,0,0
Fpgt_1,1024,617,1741,1702,606,476,401,430,780,618,606,690,646,498,454,542,293,345,478,416
Lrriq3_1,1039,703,1853,1876,474,674,489,445,887,694,703,864,899,715,731,778,127,120,137,139
LOC100751264_1,0,1,0,443,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
Negr1_1,0,0,0,0,0,5,0,1,21,11,20,18,0,0,0,0,42,3387,50,31
Zranb2_1,4306,2521,5464,5344,1914,1611,1312,1234,3925,3118,2282,2502,2265,1863,1841,2005,1029,2207,2397,1355
Ptger3_1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,160,13,7,18
Cth_1,1,0,2,4,1,1,5,8,2,0,1,1,1,1,0,1,33,118,29,55
Ankrd13c_1,2863,3514,4477,4645,1665,1123,1182,1380,4105,3034,2540,2809,2942,2094,2232,2422,736,1448,1304,873
Srsf11_1,1313,3548,5577,2959,2667,1828,2652,2764,1892,1451,2980,3307,1913,1613,1651,1746,932,2511,4892,1049
Lrrc40_1,1214,961,1329,1640,332,328,275,221,984,769,615,635,629,494,526,535,274,447,483,330
Lrrc7_1,0,0,2,0,2,3,2,6,0,0,0,0,0,0,0,0,35,1276,2,4
LOC113831622_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,124,0,1
LOC100768550_1,0,0,1,289,0,1,0,0,1,5,4,3,0,0,0,0,0,0,0,0
Depdc1_1,1418,1680,2043,3591,985,621,513,298,1737,1353,924,1096,917,921,953,679,43,21,1785,101
Rpe65_1,18,26,8,38,0,7,10,14,3,1,2,3,3,4,1,1,2,1,24,88
Wls_1,4390,3189,7893,5580,2370,2272,1961,2296,3368,2601,2711,2909,3886,2915,2778,3624,3038,1519,658,1122
LOC113833452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccdc70_1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Atp7b_1,296,428,574,404,301,219,393,293,906,670,504,568,257,193,170,168,88,127,1706,78
Alg11_1,1774,1194,3555,3008,779,716,821,807,3175,2457,1602,1852,795,589,528,639,256,436,357,416
Nek5_1,4,8,82,21,111,75,21,21,77,50,75,91,35,30,9,31,185,34,9,3
Nek3_1,223,363,687,430,173,132,282,329,368,296,368,369,175,122,120,184,78,42,97,87
Ckap2_1,2185,2371,4217,3585,1705,866,549,404,6007,4555,3431,3641,2451,1948,2141,1580,114,91,3271,139
Vps36_1,3258,2455,6598,5009,1851,1658,1307,1374,3852,3086,2535,2649,2485,1895,1881,1908,478,939,960,664
Thsd1_1,5,1,4,6,0,1,0,4,5,1,1,5,0,0,0,0,178,71,110,227
LOC100753123_1,2,0,3,0,0,1,0,1,0,1,1,2,0,0,0,0,2,6,0,2
Slc25a15_1,485,404,729,799,302,183,250,196,763,643,446,487,232,224,192,225,145,210,212,227
Mrps31_1,960,637,1495,1465,333,351,250,247,1324,963,579,718,439,400,363,399,136,394,613,234
Smim19_1,705,669,1466,2179,639,630,748,606,1369,1023,806,827,521,394,418,517,295,487,592,304
Slc20a2_1,721,447,706,807,329,254,183,228,1022,839,697,732,529,556,514,531,271,849,234,91
Vdac3_1,4269,3451,5997,7087,3975,2946,3693,3556,4827,3785,2704,2875,3875,3084,3019,2971,823,2888,4960,875
Dkk4_1,8,0,8,2,1,4,6,14,1,6,8,7,8,3,5,4,1,10,23,4
Polb_1,686,587,1731,1608,314,418,620,545,724,614,536,596,306,245,227,286,106,323,492,187
Ikbkb_1,1874,1325,2781,2954,1347,723,958,973,2355,1915,1628,1928,1007,923,786,1106,451,452,922,634
Plat_1,790,952,4297,1706,1581,3758,6144,7267,2236,1698,706,721,488,332,315,555,786,382,172,78
Ap3m2_1,0,6,19,8,1,2,12,7,2,1,9,13,0,0,0,0,131,2187,110,143
Kat6a_1,2427,1845,5867,2707,1961,1234,1691,1447,9552,7400,4367,4923,2165,1550,1432,1858,2015,1465,2713,3046
Ank1_1,20,17,298,95,182,321,55,47,96,80,52,50,96,79,66,81,10,1330,13722,618
Nkx6-3_1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,2,0
Gpat4_1,3605,2930,6131,7617,2181,1607,2318,2085,4851,3884,3083,3394,2314,1891,1727,2003,935,1099,1015,651
Gins4_1,973,907,1129,1996,550,210,721,290,1719,1410,709,775,254,254,231,170,42,38,655,58
Golga7_1,1451,2121,6099,4088,2403,2388,1731,1667,5336,4259,2596,2640,2265,1843,1892,1984,479,1752,1631,744
Sfrp1_1,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,158,194,784,418
Zmat4_1,1,1,1,0,64,104,147,199,92,59,111,115,0,0,0,1,98,994,17,45
Tcim_1,0,0,0,0,0,12,12,12,0,0,0,0,0,0,0,0,85,91,87,53
Ido2_1,0,0,0,0,2,2,3,1,1,0,6,2,0,0,0,0,128,2,81,194
Ido1_1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,222,9,194,416
Adam18_1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,10,44
LOC100754689_1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,8,1,2,0
LOC100755537_1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
LOC100755245_1,1,0,0,0,0,3,0,2,6,3,9,7,1,1,1,0,1,1,0,1
Adam32_1,4,1,13,2,3,8,12,11,22,20,33,41,10,5,4,7,19,8,2,15
Adam9_1,5209,4279,6699,7027,4345,4143,5236,5385,8130,6182,7491,8303,5637,4364,4331,5014,1115,1244,940,763
Tm2d2_1,756,815,1506,1389,799,705,1298,1109,1604,1210,1001,1035,589,630,539,688,343,795,607,153
Htra4_1,11,7,20,1,2,4,8,19,14,28,16,23,4,5,6,0,85,74,44,32
Plekha2_1,317,458,1276,615,516,408,129,119,1285,948,696,744,149,109,121,133,708,427,3078,5479
Tacc1_1,2310,2100,6089,2749,1187,991,1396,1294,6517,4972,3579,3893,821,576,636,659,2794,3671,3327,4067
LOC100753789_1,0,2,0,503,0,0,0,0,100,72,96,86,6,0,4,1,1,2,0,0
Fgfr1_1,861,1949,6007,3459,833,914,1023,1302,7495,5940,4339,4829,32,30,28,24,2488,2135,563,365
Letm2_1,161,151,421,228,234,369,414,513,523,405,557,637,282,239,213,284,334,701,1018,358
Nsd3_1,930,1233,1860,1173,1454,1223,1771,1598,7333,5563,4321,4905,1821,1446,1146,1511,1234,1208,2039,1790
Plpp5_1,87,128,554,360,297,293,100,97,338,272,247,259,293,235,219,287,184,189,218,146
Ddhd2_1,3390,2415,4883,6158,1635,1708,3322,2893,5683,4438,5060,5636,2525,1760,1839,2216,782,3078,881,1030
Bag4_1,1517,1241,1895,1341,796,562,1092,904,3927,2963,2684,2854,1215,930,906,996,345,1165,464,427
Lsm1_1,735,679,1800,3374,518,431,649,656,2375,1823,1070,1216,341,315,310,344,114,201,410,177
Star_1,389,278,474,190,556,1172,145,174,400,293,234,310,92,73,83,91,749,108,260,221
Ash2l_1,2285,1668,3184,3189,1441,858,897,1025,4266,3307,2195,2330,1474,1168,1326,1206,409,495,1321,415
Kcnu1_1,5,2,32,3,8,2,22,21,16,10,22,47,3,6,5,4,11,10,8,14
Hgsnat_1,1295,1009,1706,2104,742,677,1296,1354,2352,1784,1063,1101,957,719,663,745,579,705,328,456
Pomk_1,394,240,743,775,194,183,280,300,650,449,570,628,287,257,219,285,126,442,286,103
Fnta_1,2812,2265,4059,5251,1826,1438,2404,2067,3078,2297,1596,1635,1486,1139,1155,1162,537,940,976,587
Hook3_1,1944,750,3944,1953,1250,1108,1036,808,3621,2724,2051,2410,1348,1028,1036,1240,1115,624,757,1498
Rnf170_1,1309,621,1822,2341,713,679,1170,1147,1248,950,795,956,717,511,513,609,143,366,184,210
Thap1_1,303,264,392,606,181,150,209,259,537,362,229,222,127,107,119,124,66,174,299,100
Znf703_1,142,623,424,145,517,286,220,266,1119,797,1412,1366,163,194,212,195,366,280,456,185
Erlin2_1,2948,1556,3354,4692,1619,1275,2293,2364,3003,2265,1908,2075,2179,1633,1647,1822,643,952,545,385
Plpbp_1,2920,1789,6697,5152,1338,1218,1003,794,3616,2707,2475,2690,1761,1531,1341,1588,330,634,515,385
Adgra2_1,2047,2749,5512,3234,4533,3452,1310,1045,5738,4494,4227,4735,2344,2588,2382,2679,1999,487,367,125
Brf2_1,265,167,476,399,324,264,200,179,415,351,248,228,310,263,282,319,84,207,152,105
Rab11fip1_1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,622,57,219,234
Got1l1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,16,11
Adrb3_1,0,0,2,0,2,0,3,2,1,0,3,4,0,0,0,0,19,2,3,3
Eif4ebp1_1,2608,3304,4893,7659,3495,3287,1398,1381,4004,3196,2124,2315,1681,1942,1747,1764,243,40,697,113
LOC113833463,0,1,0,0,0,0,0,0,3,0,1,2,0,0,0,0,2,0,1,1
Chrnb3_1,0,0,1,3,0,0,1,2,1,1,3,1,0,2,0,0,1,5,0,0
Chrna6_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
LOC100774454_1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Unc5d_1,0,0,2,0,152,177,103,114,0,0,0,1,0,0,0,0,58,1217,1,18
LOC113833464_1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,74,0,7
LOC113831909_1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0
LOC113832123_1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,7,16
Dennd2d_1,30,7,154,30,1,0,3,2,18,12,52,38,6,6,2,8,113,30,1200,1247
Cept1_1,1188,890,1784,2053,722,779,555,707,961,685,1053,1168,1019,863,802,953,352,764,751,928
Dram2_1,857,725,1793,1911,457,750,595,695,359,279,809,892,875,666,569,842,276,334,780,1191
Lrif1_1,391,520,1161,618,746,648,674,662,751,560,531,657,310,224,212,298,104,222,304,230
Cd53_1,2,1,31,4,338,2767,248,190,13,1,7,11,49,48,36,56,124,147,3945,4652
LOC100760332_1,0,0,0,0,0,0,0,0,4,1,3,5,0,1,0,0,0,1,0,0
Kcna3_1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,48,176,116,66
Kcna2_1,0,0,1,0,0,0,0,1,3,2,0,2,0,0,0,0,74,1373,7,46
Kcna10_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chymosin_1,1,0,17,0,0,1,0,2,0,1,1,0,6,1,6,2,0,0,1,1
LOC113833484,5,8,80,15,0,1,3,3,6,9,2,1,6,9,2,6,1,10,0,2
LOC100774846_1,1210,1171,2049,4404,714,999,893,841,931,692,918,1004,754,632,536,729,130,264,297,222
Slc16a4_1,90,25,176,33,29,29,35,29,129,85,95,87,166,110,87,169,104,20,91,129
Rbm15_1,1822,597,2922,2316,711,379,405,462,2261,1724,1446,1558,766,626,446,554,995,292,972,1517
Kcnc4_1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1332,7,5
Slc6a17_2,3,7,16,4,12,9,12,14,11,4,16,11,2,2,2,2,9,4322,2,1
Ubl4b_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alx3_1,2,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,21,28,2,1
Strip1_1,1979,2226,3897,1889,1138,939,1319,1354,1924,1696,2617,3010,1362,1380,1184,1337,630,1640,1479,792
Ahcyl1_1,4252,10041,9892,4748,4575,3294,4451,4406,12254,9090,10329,11283,7480,5891,5723,6225,1766,6380,2522,1469
Csf1_1,3237,1770,670,474,1030,514,192,220,1699,1291,1220,1371,822,851,759,1023,388,468,2714,896
Eps8l3_1,3,1,6,3,4,1,7,5,8,2,4,7,11,2,0,5,12,2,0,1
Gstm3_1,7172,5154,7993,10468,4037,2566,3121,3087,4557,3238,2811,3088,5287,4162,3857,4170,1978,1709,2738,280
LOC100750937_1,4,2,2,231,10,7,2,1,4,3,3,4,4,4,3,3,590,675,241,53
LOC100750644_1,3587,2086,4600,3457,987,608,1452,2310,2977,2152,3326,3387,2498,2239,1946,2083,1078,1138,175,44
LOC100768110_1,6728,5697,7370,6501,4262,2426,3797,3736,6234,5014,3265,3415,9226,8215,7469,8391,997,718,191,34
LOC100757858_1,2792,3603,7940,8084,2461,2139,2870,2497,2890,2198,1948,2087,2150,1938,1670,1702,596,382,703,599
LOC100767530_1,418,617,254,385,195,62,613,711,402,282,533,468,636,548,523,459,1466,73,82,35
LOC100766772_1,6870,6772,5204,4793,3684,1042,2924,2483,5492,4174,4486,4862,8455,7420,8102,7297,1725,3039,839,242
Ampd2_1,1803,2742,3332,2022,2729,1467,1587,1448,1993,1522,1509,1573,1025,1339,1135,1275,800,1659,2194,575
Gnat2_1,32,32,113,48,33,12,16,11,19,8,11,10,14,6,9,11,0,4,17,2
Gnai3_1,2995,1961,6004,4796,1865,1566,2125,1937,1742,1368,1963,2161,1667,1300,1389,1476,376,274,1003,762
Gpr61_1,47,8,142,114,1,2,26,35,38,24,21,28,4,0,0,1,11,298,9,24
Amigo1_1,1,0,1,0,0,0,3,1,0,0,2,3,0,0,0,0,106,1640,59,69
LOC100773256_1,407,289,908,971,311,258,325,321,368,297,349,362,236,222,149,180,211,612,351,239
Atxn7l2_1,215,293,328,132,317,216,119,169,302,199,188,229,188,257,236,264,97,250,395,147
Sypl2_1,5,4,7,2,0,1,1,1,0,2,4,0,1,4,1,1,4,7,21,3
Psma5_1,6778,6382,7977,8805,3274,2448,2619,1932,4058,3181,2345,2648,2662,2356,2067,2321,417,974,1786,669
Sort1_1,1506,1494,3358,3199,951,992,2308,2533,17,16,12,18,1012,767,672,892,1425,10485,869,1346
Mybphl_1,1,2,37,18,1,0,0,1,3,2,0,6,0,0,0,1,0,2,14,15
Psrc1_1,238,589,1666,435,443,123,172,89,437,320,247,248,205,249,213,159,29,93,232,12
Celsr2_1,9,12,43,13,18,8,13,16,11,12,4,1,6,8,6,9,1012,4832,84,53
Sars_1,4393,4009,9087,10766,4167,4749,3348,4230,2605,2101,2516,2755,2771,3284,2806,3132,659,2852,1979,673
Kiaa1324_2,1,5,19,2,7,2,9,17,1,0,0,0,0,0,1,1,78,588,10,27
CUNH1orf194_1,92,137,125,70,3,2,5,9,6,7,2,9,48,44,34,55,168,121,11,10
Tmem167b_1,779,965,3019,3833,1383,1514,2588,2586,1456,1210,1026,1230,1164,850,870,1076,834,1092,813,509
Taf13_1,287,801,1260,2224,643,1082,986,1018,644,499,460,516,466,417,406,429,42,285,600,75
Wdr47_1,923,676,2134,1407,431,455,1237,1082,560,410,658,760,773,504,545,644,304,2719,317,483
Clcc1_1,3573,2721,5800,3631,1555,1443,2010,1876,2573,2135,2107,2290,2349,1838,1828,2002,926,1154,935,997
Gpsm2_1,2842,2308,6346,8245,2095,1426,2158,1726,3262,2625,3842,4077,4450,3402,3402,3147,422,537,1936,219
LOC100767707_2,39,23,29,6,29,14,6,8,3,1,2,3,6,1,1,3,36,0,0,2
Stxbp3_1,1248,1210,3145,2379,894,830,922,919,1268,948,983,1057,859,629,690,754,554,611,914,633
Fndc7_1,0,3,6,14,8,9,5,13,7,1,3,10,8,11,2,8,11,2,184,6
Prpf38b_1,2039,3857,3152,2912,2937,1735,2734,2446,3446,2706,2304,2451,2263,1912,1903,1864,531,1079,4204,1037
LOC100752202_2,60,40,22,38,11,3,5,9,51,20,22,16,33,36,21,22,27,39,30,28
Fam102b_1,7348,2984,4662,5552,4007,3737,2177,2869,2099,1743,3065,3407,7099,5269,5416,6685,1069,930,310,598
LOC100753868_1,9,1,6,5,19,23,38,55,3,4,3,16,6,1,9,2,1,4,7,8
Slc25a24_1,1903,1655,3519,3138,1466,1481,790,1041,1627,1271,1734,1888,1618,1329,1405,1331,408,101,333,286
Vav3_1,0,2,13,2,2,4,20,14,7,22,1,0,1,0,0,0,145,346,505,1533
Ntng1_1,9,39,11,13,54,77,46,86,6,3,3,3,37,39,33,46,115,1091,75,118
Prmt6_1,550,496,618,742,415,353,208,278,325,254,220,210,139,125,138,138,125,171,173,148
LOC100766318_1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,4,1,5,20123
LOC100767001_1,12,9,16,15,22,31,51,31,6,11,1,4,14,5,8,11,43,260,48,5139
Rnpc3_1,883,536,1402,536,666,584,653,778,1186,911,901,969,758,542,508,655,641,684,1144,1229
Col11a1_1,9,2,12,9,3,7,11,30,0,0,0,4,0,3,0,1,113,421,11,3
Olfm3_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,548,1,1
S1pr1_1,13,23,35,21,1,5,5,6,10,7,10,11,0,0,0,0,225,2460,2766,3006
LOC100755934_1,1581,1439,3199,2735,1075,1151,508,500,1642,1298,940,997,827,670,632,755,250,526,940,1104
Slc30a7_1,2183,1199,5079,2948,867,827,1007,959,2751,2074,2373,2551,1595,1172,1207,1402,662,198,556,1053
Extl2_1,2581,2163,3536,3338,1185,907,1093,1124,2500,1925,1418,1603,1342,1002,1090,1208,331,1870,289,254
Vcam1_1,1282,1806,21,18,299,1140,154,141,0,0,14,13,56,34,31,94,412,626,4628,3955
LOC113833489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1641,162,82
Cdc14a_1,564,824,1718,682,337,268,360,324,565,461,413,419,359,256,292,296,566,157,513,354
Rtca_1,2182,2167,2052,2511,865,576,725,713,759,550,560,704,663,532,557,562,239,720,700,184
LOC100759869_1,1476,1289,3900,2280,702,708,746,638,574,409,597,671,730,523,530,638,284,561,304,286
LOC113833490,56,16,257,47563,31,36,46,50,12657,9710,8407,9210,81,71,58,71,7,16,54,19
LOC100767743_2,3,4,2,4,0,1,3,3,6,5,2,1,1,2,0,1,0,4,0,0
LOC100760563_2,800,613,940,906,393,306,320,307,642,469,324,398,396,252,270,354,195,299,415,267
Sass6_1,624,375,358,465,256,127,94,64,730,584,336,385,290,196,241,225,101,91,243,94
Mfsd14a_1,2473,2188,3533,4135,1466,1395,812,840,2401,1865,1763,2012,2147,1712,1652,1741,563,1073,1063,892
Slc35a3_1,908,559,1218,1399,502,436,475,473,763,520,473,566,559,421,391,508,318,131,134,254
Agl_1,1603,1140,3880,2297,729,588,1895,1755,899,707,714,885,1057,757,669,847,1221,966,484,755
Frrs1_1,256,167,647,430,212,237,176,147,5,0,0,0,245,145,152,200,138,19,281,121
Palmd_1,0,0,3,0,0,2,1,2,0,0,0,1,0,0,1,1,109,464,79,10
Plppr4_1,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,3,2954,2,1
Plppr5_1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,450,0,1
Snx7_1,1527,1231,2278,2438,784,739,666,720,868,640,599,603,691,578,498,602,107,204,40,39
Dpyd_3,435,202,651,500,249,242,340,310,44,55,76,95,301,249,205,265,474,179,137,390
Ptbp2_1,433,286,847,763,353,346,155,236,369,269,222,248,362,284,308,341,583,1362,377,777
Rwdd3_1,140,96,287,272,61,75,52,53,0,0,1,0,75,55,71,68,56,93,143,78
LOC100772772_1,112,48,84,104,67,87,98,125,54,31,69,80,44,20,33,36,189,119,406,38
Alg14_1,699,783,1092,2072,446,489,605,590,447,363,400,455,464,394,429,392,88,87,113,67
Cnn3_1,3153,6846,10382,3941,3637,3029,3921,3658,3723,2890,1977,2235,2790,2409,2413,2258,1469,1968,1769,197
Slc44a3_1,19,10,215,207,2,0,9,15,2,7,8,7,0,0,0,0,139,16,287,76
LOC100765027_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F3_1,286,102,563,940,140,164,281,314,641,554,668,665,307,227,196,235,240,499,68,27
Abcd3_1,3466,2444,6222,3794,1314,1155,1419,1701,2092,1568,1940,1958,1638,1127,1258,1333,884,1319,458,521
Arhgap29_1,5486,3332,9066,5505,1492,854,2165,2103,3225,2507,4924,5340,1790,1361,1387,1362,1634,385,1256,1542
LOC100767638_2,100,55,149,126,78,90,110,114,98,60,353,444,23,21,12,16,61,110,84,22
Gclm_1,4676,3541,2187,2277,2792,1466,1079,1276,3679,2823,4410,4839,1481,1274,1402,1142,164,306,4553,217
Dnttip2_1,5605,4691,6468,5407,2068,1880,1876,2116,3293,2554,2161,2163,1977,1387,1508,1716,220,872,1563,410
LOC113833510,10,4,35,17,2,4,6,9,6,4,5,6,0,0,1,0,12,89,23,66
Bcar3_3,585,1086,4468,1999,265,231,260,245,187,131,349,387,320,328,307,360,336,233,326,423
Fnbp1l_1,780,1075,2111,1784,828,606,1211,1478,1103,820,1084,1221,803,623,610,655,791,2367,297,224
LOC100759100_1,1,2,4,3828,3,2,4,7,1371,1108,972,1147,3,3,6,5,0,3,1,1
Pde5a_1,2538,1758,4738,2855,1127,1025,890,978,2257,1862,1668,1989,2423,1685,1731,1812,1464,266,501,291
Fabp2_1,0,0,0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
LOC100754451_1,254,970,140,172,299,179,46,29,19,17,59,51,380,279,227,256,2,1,0,0
CUNH4orf3_1,500,907,1881,3309,658,675,831,584,758,602,528,553,268,269,297,287,274,801,834,228
Usp53_1,396,323,1061,545,218,168,528,584,448,341,182,181,191,172,150,196,500,510,316,549
